accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,n_groups,background_groups,drone_groups,false_alarm_count,false_alarm_rate,missed_drone_count,missed_drone_rate,detection_rate,coverage,partes
0.0,0.0,0.0,0.0,0.0,12,3,9,0,0.0,9,1.0,0.0,0.0,L
0.0,0.0,0.0,0.0,0.0,12,3,9,0,0.0,9,1.0,0.0,0.0,H
1.0,1.0,1.0,1.0,1.0,12,3,9,0,0.0,0,0.0,1.0,1.0,L_H
