accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,n_groups,background_groups,drone_groups,false_alarm_count,false_alarm_rate,missed_drone_count,missed_drone_rate,detection_rate,coverage,permutation,seed
0.6727272727272727,0.6055555555555556,0.5713213213213213,0.6055555555555556,0.568815331010453,55,10,45,5,0.5,13,0.28888888888888886,0.7111111111111111,1.0,1,10042
0.2909090909090909,0.5277777777777778,0.5332446808510638,0.5277777777777778,0.2899702085402185,55,10,45,1,0.1,38,0.8444444444444444,0.15555555555555556,1.0,2,10043
0.6181818181818182,0.5722222222222222,0.5455182072829131,0.5722222222222222,0.5283789301755819,55,10,45,5,0.5,16,0.35555555555555557,0.6444444444444445,1.0,3,10044
0.23636363636363636,0.5333333333333333,0.5961538461538461,0.5333333333333333,0.22379032258064516,55,10,45,0,0.0,42,0.9333333333333333,0.06666666666666667,1.0,4,10045
0.6727272727272727,0.5666666666666667,0.5480769230769231,0.5666666666666667,0.5467032967032968,55,10,45,6,0.6,12,0.26666666666666666,0.7333333333333333,1.0,5,10046
0.7454545454545455,0.65,0.617595818815331,0.65,0.626937984496124,55,10,45,5,0.5,9,0.2,0.8,1.0,6,10047
0.7636363636363637,0.6222222222222222,0.6136363636363636,0.6222222222222222,0.6174424826110219,55,10,45,6,0.6,7,0.15555555555555556,0.8444444444444444,1.0,7,10048
0.4,0.5555555555555556,0.5400641025641025,0.5555555555555556,0.39277350284376045,55,10,45,2,0.2,31,0.6888888888888889,0.3111111111111111,1.0,8,10049
0.7090909090909091,0.7055555555555555,0.6321428571428571,0.7055555555555555,0.6333333333333333,55,10,45,3,0.3,13,0.28888888888888886,0.7111111111111111,1.0,9,10050
0.4909090909090909,0.65,0.5986842105263157,0.65,0.47690217391304346,55,10,45,1,0.1,27,0.6,0.4,1.0,10,10051
0.8181818181818182,0.5,0.4090909090909091,0.5,0.45,55,10,45,10,1.0,0,0.0,1.0,1.0,11,10052
0.7272727272727273,0.6388888888888888,0.6041666666666666,0.6388888888888888,0.611764705882353,55,10,45,5,0.5,10,0.2222222222222222,0.7777777777777778,1.0,12,10053
