filtro,orden_aproximado,estable,banda_inicio_MHz,banda_fin_MHz,ganancia_centro_dB,ganancia_stop_baja_dB,ganancia_stop_alta_dB,radio_max_polo
FIR,400,True,9.259765625,10.759765625,-9.643274665532871e-16,-61.57805418649073,-63.24647516455583,0.0
IIR Butterworth,8,True,9.259765625,10.759765625,-1.1571929598639454e-14,-39.50660120218829,-39.52474958388222,0.9562081109367486
